susan granger's review of " ghosts of mars " ( sony pictures entertainment )  horror auteur john carpenter ( " halloween , " " vampires " ) strikes out with this sci-fi eco-fable that's so bad it boggles the mind to imagine how the project ever got green-lit .  the script by carpenter and larry sulkis appears to have been lifted directly from last year's " pitch black , " involving a violent prisoner who must be released from bondage so that he can help a small band of humans protect themselves from blood-thirsty , marauding aliens .  in the year 2176 , there are 640 , 000 earthlings on mars , living in a matriarchal society led by a commander , played by pam grier .  grier , pill-poppin' natasha henstridge , and some rookie mars police officers ( clea duvall , jason statham ) travel to the remote mining town of shining canyon to fetch " desolation " williams - that's ice cube - to bring him back to chryse city to stand trial for murder .  but when they're besieged by demented , zombie-like , body-snatching miners , they readily free the scowling ice cube since they need him for protection .  it seems a red cloud was released from a shining canyon cave and , soon after , most of the miners went bonkers as long-dormant remnants of an ancient martian civilization took over their minds and bodies , lopping off heads as " vengeance for anything that tries to lay claim to their planet , " according to a scientist ( joanna cassidy ) .  carpenter uses so many flashbacks to tell the " night of the living dead " -like story that the idiotic plot gets incomprehensibly confusing .  but you can easily predict each of the supporting characters who will be killed , along with the order of their elimination .  on the granger movie gauge of 1 to 10 , " ghosts of mars " thuds to a laborious , bottom-of-the-barrel 1 . ||negative
so ask yourself what " 8mm " ( " eight millimeter " ) is really all about .  is it about a wholesome surveillance man who loses sight of his values after becoming enmeshed in the seedy , sleazy underworld of hardcore pornography ?  is it about the business itself , how , bubbling just beneath the surface of big-town americana , there's a sordid world of sick and depraved people who won't necessarily stop short of murder in order to satisfy their sick and twisted desires ?  or is it about those who can , those who are in a position to influence the making of the kinds of films sick and demented people want to see ?  i'm not talking about snuff films , supposed " documentaries " of victims being brutalized and killed on camera .  i'm talking about films like " 8mm " and its director , joel schumacher .  with a recent run of big budget movies to his credit-- " batman & robin , " " a time to kill , " " batman forever , " " the client " --schumacher certainly has that kind of influence .  is " 8mm " something you really want to see ?  probably not .  the first two-thirds of " 8mm " unwind as a fairly conventional missing persons drama , albeit with a particularly unsavory core . ||negative
 " some houses are born bad , " goes the haunting's tag line , to which i must add , " some movies , too . "  nothing short of hiring a new cast , a more literate screenwriter , and a new director could have saved this tragically misguided adaptation of jackson's meritorious novel .  the haunting is late entry summer dreck too slick to be creepy , and its seemingly endless stream of digital trickery and spooky ooky sound effects don't frighten so much as numb the audience into submission-the film is like a rube goldberg contraption rigged to shout " boo . "  fragile nell ( taylor ) , bisexual theo ( zeta-jones ) , and smiley luke ( wilson ) are three insomniacs who gather at the reputedly possessed hill house for an extended study on sleep disorders , hosted by professor marrow ( neeson ) .  marrow's secretly gathering data on their respective paranoid responses to his recount of hill house's bleak history .  he's not prepared for the very real apparitions that terrorize the crew , nell especially , who has some ancestral connection to the manor's previous inhabitants .  taylor is thoroughly insufferable in her first big-budget lead .  for starters , her consistently dour expression sucks the life out of even the early scenes , when we're introduced to the mansion and all its fun-house trappings .  her character is supposed to be depressed , having tended to an unloving mother for too many years , but taylor plays nell as supernaturally lame , alternately grouchy , mopey , wiggy and pathetic , and i kept wondering why the other characters didn't just ditch this bitch .  as for the obscenely photogenic zeta-jones , she breezes through her scenes with a wink and a smile and takes the scenery with her . ||negative
weir is well-respected in hollywood for turning scripts with difficult subject-matter into deceptively simple , powerful films , the mosquito coast ( utopia ) and fearless ( post-traumatic stress disorder ) among them .  in the truman show , weir essentially breathes life into the now-tired concept of media-manipulation by tackling the material from the inside-out .  it certainly helps that he has an underrated performer in top-form playing the title character , truman burbank .  by now you must be aware of the premise : unbeknownst to him , truman ( carrey ) is the star of his own tv series , a 24-7 peep-show in which he is surrounded by actors and placed in loosely scripted situations ; people around the world tune in for the voyeuristic thrill of his genuine reactions to fictitious stimulants .  `seahaven' , his hometown , and the show itself , are the brainchild of christof ( harris ) , who presides over his creation in the base of a fake moon , directing over 500 cameras and hundreds of actors and extras .  for 30 years , truman suspects nothing-`we accept the reality we're given , ' poses christof-but a desire to break free of the sunny town and visit a long lost love in `fiji' ( mcelhone , who was actually an actress fired by christof for trying to break the confidentiality agreement ) overwhelms him .  thus , christof and his team suddenly find themselves working twice as hard to keep the veneer of seahaven intact , lest truman discover the world outside and put an end to the highly-rated program .  in a few broad strokes , weir creates a convincing second-reality , and he has the good sense not to bring christof into the picture until almost three-quarters through .  this allows us to comprehend and accept truman's world before we contextualize it .  for all his madness , christof has shown the world a place without violence and hardship , and demonstrated that a human being can function well within it . ||positive
susan granger's review of " session 9 " ( usa films )  sometimes you just get more than your bargained for . . . like when boston-based hazmat elimination , run by scottish actor peter mullan and his trusty assistant , david caruso , assures a town engineer ( paul guilifoyle ) that they can remove insidious asbestos fibers from a victorian hospital facility in a week .  erected in 1871 , deserted and decomposing since 1985 , the danvers mental hospital , is one of the most malevolent " locations " ever chosen for a film .  the structure is so massive - with its labyrinth of rubble-strewn corridors , collapsing floors , stagnant pools of water , isolation cells , and ominous surgical chambers where experimental pre-frontal lobotomies were performed - that their task seems impossible within that time frame .  and each member of their inexperienced crew ( stephan gevedon , brandon sexton iii , and josh lucas ) is coping with his own personal demons as , one by one , their minds seem to be affected by the grim areas in which they're working .  the film's title is derived from salvaged reel-to-reel audio-recorded sessions involving the demonic possession of a young woman who is suffering from multiple personalities .  by the time session 9 occurs so do dreadful disasters .  filmmaker brad anderson obviously envisioned this as a gruesome chainsaw-massacre-type ghost story but the script lacks structure and isn't particularly scary .  the conclusion is more ludicrous than convincing .  on the granger movie gauge of 1 to 10 , " session 9 " is a dark , gloomy 4 . silly me . . . at ||negative
the happy bastard's quick movie review  the concept of enjoying a stupid comedy is best realized as keeping it stupid , really .  shift gears even once and the audience can be thrown miserably out of control .  sadly , that is the case with kingpin , a film directed by the farrelly brothers , the duo that brought us there's something about mary and dumb and dumber .  since the duo directed and didn't write the script , i can assume that's part of the problem .  the story seems good enough : a pro bowler in the 1970's by the name of roy munson ( woody harrelson ) is sitting on top of the world .  his popularity has gone through the roof and he's getting his career off the ground .  then , however , he runs into ed mccracken ( bill murray ) , a rival bowler with hardly any real consideration for , well , anything .  these two form an ill-timed relationship that involves risky betting , and , before roy sees it coming , ed's abandoned him and he's about to lose his hand in a bowling ball machine .  forward seventeen years later , where roy has become quite the loser , complete with mechanical hand , torn-up car , and , of course , the occasional knocking up of the ugly-ass landlord to avoid paying rent for a while . ||negative
scream 2 has a titillating little scene that lays down the unwritten law of horror movie sequels quite well .  during a film-class discussion , windsor college students articulate what these inevitable laws are , and why sequels never live up to the originals .  a few rare exceptions are noted , but they left out one .   .   .  scream 2 !  1996's surprise horror blockbuster scream became an instant hit and developed an obsessive coterie of fans which included almost every teenager in america !  a sequel was unavoidable , but luckily the re-teaming of writer kevin williamson and director wes craven gives us nothing to fear in the way of lost entertainment .  in fact , at the risk of sounding sacrilegious to all the adorning fans of scream , i would say that scream 2 might even be the better film !  sidney prescott ( neve campbell ) , the sinuous heroine who survived a series of murders in woodsboro , ca in the original scream , is now two years older and off to college , majoring in theater . ||positive
if you're going to make a two-hour hollywood in-joke , why bother releasing it to the general public ?  if you're going to create a film that will appeal primarily to big-name actors and people who know woody allen , then why waste the time of the rest of us peons by playing it in theaters ?  while watching celebrity , i realized that allen had only marginal interest in creating a story about real people .  what he really wanted to do was continue on his recent kick of conceited self-deprecation .  celebrity is yet another film in which allen tells a story about himself , living in a world that he's familiar with , dealing with people like the ones he actually knows .  allen recruited poor kenneth branagh to bumble through this picture , in an imitation of allen so perfect that it almost made me like the film more .  branagh plays lee simon , a journalist-turned-screenwriter who divorces his wife , robin ( judy davis ) , shacks up with some hot women ( famke janssen , charlize theron , winona ryder ) , and goes about trying to get big stars ( melanie griffith , leonardo dicaprio ) to read his script about an armored car robbery .  the usual elements of recent allen films are all here , including the sexual insecurity of the main character , lots of self-loathing women , and a tiring continuum of episodes that are only loosely related to one another .  unless you work in the film industry or know woody allen personally , it's not likely that you'll find a whole lot of interest in celebrity .  aside from all the in-jokes , the story falls far short of compelling , and the characters are all empty and lifeless . ||negative
a group of high school kids mix up with a group of hip-hop artists as a documentarian strives to discover why today's youth seem attracted to black culture .  the review  if black & white , the new film from writer/director james toback , is eventually remembered for only one thing , it will be the revelation that brooke shields , claudia schiffer , marla maples and mike tyson can act .  however , this partly improvised gem will be remembered for more than that .  black & white is a fascinating film ; it makes a statement about america's youth and hip-hop culture without getting heavy-handed overly serious .  featuring a cast of known commodities ( ben stiller , robert downey jr . ) and hot newcomers ( singers bijou phillips ) , toback's is a complex film worth seeing .  black & white has multiple storylines that are all related to each other , a la robert altman .  there is dean the basketball player ( allan houston ) who is asked to rig games for money by mark clear ( stiller ) in exchange for fifty grand a game .  this eventually spills over into the life of dean's long-time friend rich ( power ) , a gangsta who controls 20 city blocks of harlem .  rich has to deal with the imminent opening of a white-owned club on his turf . ||positive
one of my colleagues was surprised when i told her i was willing to see betsy's wedding .  and she was shocked to hear that i actually liked it .  her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 .  but the fact is , betsy's wedding is also an alan alda film .  and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life .  written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor .  alda's comic elixir is smooth and refreshing--and a welcome change of pace from the usual summer fare .  as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting .  walsh is a nonentity , with all the screen presence of a door knob .  ringwald is simply unbearable and is easily the weakest link in the chain . ||positive
this is the worst movie i've seen since the " so bad i walked out on it " " jingle all the way " .  it is crap on toast made of crap baked in a an oven fueled by crap .  it is crap through and through .  nothing works in this film , as to be expected from joel schumacher , who has made only one watchable film in his entire career ( that being " cousins " ) .  here's a man who admits he's a medicore director , a rather charmingly self-effacing statement .  but truth be told , he is much worse than mediocre .  not all scorn should be heaped on schumacher though -- akiva goldsman should not be allowed to write ever again .  there is no plot anywhere , and the " dialogue " is unrelentingly shallow , preposterous , and boring .  they set up mr . freeze as a tragic figure trying to cure his cryogenically frozen wife , then completely sabotage his character by giving him the lamest one-liners .  it turns him into a stock maniacal villain who thoroughly enjoys his villainy instead of a brooding scientist who has spent much of his life to bringing his wife from the brink of death . ||negative
summer movies are , by nature , dumb affairs that are usually made for some quick enjoyment and to make money .  wild wild west , the latest will smith affair , follows much the same formula , except that it is dumber and less enjoying than most summer movies .  will smith plays jim west , a black sheriff with a nice line in sunglasses .  he is called by president grant ( kline ) to go on a mission to find out why top government scientists are disappearing .  west is paired up with scientist artemus gordon ( kline again ) and the two track the missing scientists to a legless mastermind , named dr . loveless ( branagh , with a zany moustache . )  before i pile on with the many negatives in this sorry affair , i'll give it a chance with the positives .  there's a nice credit sequence , the production design by bo welch is pleasing to the eye , and the special effects are decent enough .  there's also a pleasant soundtrack .  buried deep in the dross are one or two amusing jokes .  and salma hayek pops up as the female interest , which is always nice to see . ||negative
